"Territorial Unit,""Year"",""Sex"",""Age"",""Limited"""
"Austria,""2004"",""Women"",""16-19"",""0.079"""
"Austria,""2004"",""Women"",""20-24"",""0.033"""

"Austria,""2004"",""Women"",""25-29"",""0.089"""
"Austria,""2004"",""Women"",""30-34"",""0.075"""
"Austria,""2004"",""Women"",""35-39"",""0.089"""
"Austria,""2004"",""Women"",""40-44"",""0.119"""
"Austria,""2004"",""Women"",""45-49"",""0.158"""
"Austria,""2004"",""Women"",""50-54"",""0.21"""
"Austria,""2004"",""Women"",""55-59"",""0.223"""
"Austria,""2004"",""Women"",""60-64"",""0.263"""
"Austria,""2004"",""Women"",""65-69"",""0.284"""
"Austria,""2004"",""Women"",""70-74"",""0.301"""
"Austria,""2004"",""Women"",""75-79"",""0.398"""
"Austria,""2004"",""Women"",""80-84"",""0.313"""
"Austria,""2004"",""Women"",""85+"",""0.278"""
"Austria,""2004"",""Men"",""16-19"",""0.047"""
"Austria,""2004"",""Men"",""20-24"",""0.077"""
"Austria,""2004"",""Men"",""25-29"",""0.1"""
"Austria,""2004"",""Men"",""30-34"",""0.082"""
"Austria,""2004"",""Men"",""35-39"",""0.088"""
"Austria,""2004"",""Men"",""40-44"",""0.126"""
"Austria,""2004"",""Men"",""45-49"",""0.128"""
"Austria,""2004"",""Men"",""50-54"",""0.219"""
"Austria,""2004"",""Men"",""55-59"",""0.207"""
"Austria,""2004"",""Men"",""60-64"",""0.299"""
"Austria,""2004"",""Men"",""65-69"",""0.354"""
"Austria,""2004"",""Men"",""70-74"",""0.36"""
"Austria,""2004"",""Men"",""75-79"",""0.288"""
"Austria,""2004"",""Men"",""80-84"",""0.35"""
"Austria,""2004"",""Men"",""85+"",""0.39"""
"Belgium,""2004"",""Women"",""16-19"",""0.085"""
"Belgium,""2004"",""Women"",""20-24"",""0.077"""
"Belgium,""2004"",""Women"",""25-29"",""0.132"""
"Belgium,""2004"",""Women"",""30-34"",""0.129"""
"Belgium,""2004"",""Women"",""35-39"",""0.128"""
"Belgium,""2004"",""Women"",""40-44"",""0.154"""
"Belgium,""2004"",""Women"",""45-49"",""0.154"""
"Belgium,""2004"",""Women"",""50-54"",""0.204"""
"Belgium,""2004"",""Women"",""55-59"",""0.194"""
"Belgium,""2004"",""Women"",""60-64"",""0.225"""
"Belgium,""2004"",""Women"",""65-69"",""0.222"""
"Belgium,""2004"",""Women"",""70-74"",""0.279"""
"Belgium,""2004"",""Women"",""75-79"",""0.275"""
"Belgium,""2004"",""Women"",""80-84"",""0.3"""
"Belgium,""2004"",""Women"",""85+"",""0.303"""
"Belgium,""2004"",""Men"",""16-19"",""0.082"""
"Belgium,""2004"",""Men"",""20-24"",""0.078"""
"Belgium,""2004"",""Men"",""25-29"",""0.122"""
"Belgium,""2004"",""Men"",""30-34"",""0.114"""
"Belgium,""2004"",""Men"",""35-39"",""0.11"""
"Belgium,""2004"",""Men"",""40-44"",""0.133"""
"Belgium,""2004"",""Men"",""45-49"",""0.155"""
"Belgium,""2004"",""Men"",""50-54"",""0.18"""
"Belgium,""2004"",""Men"",""55-59"",""0.188"""
"Belgium,""2004"",""Men"",""60-64"",""0.221"""
"Belgium,""2004"",""Men"",""65-69"",""0.198"""
"Belgium,""2004"",""Men"",""70-74"",""0.231"""
"Belgium,""2004"",""Men"",""75-79"",""0.296"""
"Belgium,""2004"",""Men"",""80-84"",""0.31"""
"Belgium,""2004"",""Men"",""85+"",""0.3"""
"Denmark,""2004"",""Women"",""16-19"",""0.066"""
"Denmark,""2004"",""Women"",""20-24"",""0.073"""
"Denmark,""2004"",""Women"",""25-29"",""0.072"""
"Denmark,""2004"",""Women"",""30-34"",""0.091"""
"Denmark,""2004"",""Women"",""35-39"",""0.096"""
"Denmark,""2004"",""Women"",""40-44"",""0.128"""
"Denmark,""2004"",""Women"",""45-49"",""0.156"""
"Denmark,""2004"",""Women"",""50-54"",""0.199"""
"Denmark,""2004"",""Women"",""55-59"",""0.197"""
"Denmark,""2004"",""Women"",""60-64"",""0.153"""
"Denmark,""2004"",""Women"",""65-69"",""0.245"""
"Denmark,""2004"",""Women"",""70-74"",""0.186"""
"Denmark,""2004"",""Women"",""75-79"",""0.299"""
"Denmark,""2004"",""Women"",""80-84"",""0.413"""
"Denmark,""2004"",""Women"",""85+"",""0.375"""
"Denmark,""2004"",""Men"",""16-19"",""0.084"""
"Denmark,""2004"",""Men"",""20-24"",""0.042"""
"Denmark,""2004"",""Men"",""25-29"",""0.036"""
"Denmark,""2004"",""Men"",""30-34"",""0.06"""
"Denmark,""2004"",""Men"",""35-39"",""0.113"""
"Denmark,""2004"",""Men"",""40-44"",""0.083"""
"Denmark,""2004"",""Men"",""45-49"",""0.087"""
"Denmark,""2004"",""Men"",""50-54"",""0.12"""
"Denmark,""2004"",""Men"",""55-59"",""0.172"""
"Denmark,""2004"",""Men"",""60-64"",""0.168"""
"Denmark,""2004"",""Men"",""65-69"",""0.106"""
"Denmark,""2004"",""Men"",""70-74"",""0.161"""
"Denmark,""2004"",""Men"",""75-79"",""0.146"""
"Denmark,""2004"",""Men"",""80-84"",""0.241"""
"Denmark,""2004"",""Men"",""85+"",""0.261"""
"Finland,""2004"",""Women"",""16-19"",""0.203"""
"Finland,""2004"",""Women"",""20-24"",""0.175"""
"Finland,""2004"",""Women"",""25-29"",""0.221"""
"Finland,""2004"",""Women"",""30-34"",""0.206"""
"Finland,""2004"",""Women"",""35-39"",""0.194"""
"Finland,""2004"",""Women"",""40-44"",""0.205"""
"Finland,""2004"",""Women"",""45-49"",""0.231"""
"Finland,""2004"",""Women"",""50-54"",""0.282"""
"Finland,""2004"",""Women"",""55-59"",""0.338"""
"Finland,""2004"",""Women"",""60-64"",""0.324"""
"Finland,""2004"",""Women"",""65-69"",""0.39"""
"Finland,""2004"",""Women"",""70-74"",""0.326"""
"Finland,""2004"",""Women"",""75-79"",""0.438"""
"Finland,""2004"",""Women"",""80-84"",""0.279"""
"Finland,""2004"",""Women"",""85+"",""0.506"""
"Finland,""2004"",""Men"",""16-19"",""0.102"""
"Finland,""2004"",""Men"",""20-24"",""0.134"""
"Finland,""2004"",""Men"",""25-29"",""0.144"""
"Finland,""2004"",""Men"",""30-34"",""0.179"""
"Finland,""2004"",""Men"",""35-39"",""0.193"""
"Finland,""2004"",""Men"",""40-44"",""0.191"""
"Finland,""2004"",""Men"",""45-49"",""0.22"""
"Finland,""2004"",""Men"",""50-54"",""0.319"""
"Finland,""2004"",""Men"",""55-59"",""0.308"""
"Finland,""2004"",""Men"",""60-64"",""0.348"""
"Finland,""2004"",""Men"",""65-69"",""0.286"""
"Finland,""2004"",""Men"",""70-74"",""0.346"""
"Finland,""2004"",""Men"",""75-79"",""0.362"""
"Finland,""2004"",""Men"",""80-84"",""0.255"""
"Finland,""2004"",""Men"",""85+"",""0.369"""
"France,""2004"",""Women"",""16-19"",""0.077"""
"France,""2004"",""Women"",""20-24"",""0.041"""
"France,""2004"",""Women"",""25-29"",""0.076"""
"France,""2004"",""Women"",""30-34"",""0.075"""
"France,""2004"",""Women"",""35-39"",""0.099"""
"France,""2004"",""Women"",""40-44"",""0.129"""
"France,""2004"",""Women"",""45-49"",""0.145"""
"France,""2004"",""Women"",""50-54"",""0.198"""
"France,""2004"",""Women"",""55-59"",""0.206"""
"France,""2004"",""Women"",""60-64"",""0.233"""
"France,""2004"",""Women"",""65-69"",""0.277"""
"France,""2004"",""Women"",""70-74"",""0.322"""
"France,""2004"",""Women"",""75-79"",""0.385"""
"France,""2004"",""Women"",""80-84"",""0.304"""
"France,""2004"",""Women"",""85+"",""0.333"""
"France,""2004"",""Men"",""16-19"",""0.049"""
"France,""2004"",""Men"",""20-24"",""0.044"""
"France,""2004"",""Men"",""25-29"",""0.066"""
"France,""2004"",""Men"",""30-34"",""0.069"""
"France,""2004"",""Men"",""35-39"",""0.084"""
"France,""2004"",""Men"",""40-44"",""0.115"""
"France,""2004"",""Men"",""45-49"",""0.127"""
"France,""2004"",""Men"",""50-54"",""0.147"""
"France,""2004"",""Men"",""55-59"",""0.187"""
"France,""2004"",""Men"",""60-64"",""0.241"""
"France,""2004"",""Men"",""65-69"",""0.248"""
"France,""2004"",""Men"",""70-74"",""0.336"""
"France,""2004"",""Men"",""75-79"",""0.334"""
"France,""2004"",""Men"",""80-84"",""0.368"""
"France,""2004"",""Men"",""85+"",""0.335"""
"Greece,""2004"",""Women"",""16-19"",""0.059"""
"Greece,""2004"",""Women"",""20-24"",""0.064"""
"Greece,""2004"",""Women"",""25-29"",""0.066"""
"Greece,""2004"",""Women"",""30-34"",""0.067"""
"Greece,""2004"",""Women"",""35-39"",""0.093"""
"Greece,""2004"",""Women"",""40-44"",""0.077"""
"Greece,""2004"",""Women"",""45-49"",""0.121"""
"Greece,""2004"",""Women"",""50-54"",""0.138"""
"Greece,""2004"",""Women"",""55-59"",""0.186"""
"Greece,""2004"",""Women"",""60-64"",""0.215"""
"Greece,""2004"",""Women"",""65-69"",""0.259"""
"Greece,""2004"",""Women"",""70-74"",""0.292"""
"Greece,""2004"",""Women"",""75-79"",""0.348"""
"Greece,""2004"",""Women"",""80-84"",""0.348"""
"Greece,""2004"",""Women"",""85+"",""0.329"""
"Greece,""2004"",""Men"",""16-19"",""0.058"""
"Greece,""2004"",""Men"",""20-24"",""0.064"""
"Greece,""2004"",""Men"",""25-29"",""0.075"""
"Greece,""2004"",""Men"",""30-34"",""0.073"""
"Greece,""2004"",""Men"",""35-39"",""0.047"""
"Greece,""2004"",""Men"",""40-44"",""0.1"""
"Greece,""2004"",""Men"",""45-49"",""0.102"""
"Greece,""2004"",""Men"",""50-54"",""0.1"""
"Greece,""2004"",""Men"",""55-59"",""0.137"""
"Greece,""2004"",""Men"",""60-64"",""0.235"""
"Greece,""2004"",""Men"",""65-69"",""0.219"""
"Greece,""2004"",""Men"",""70-74"",""0.252"""
"Greece,""2004"",""Men"",""75-79"",""0.3"""
"Greece,""2004"",""Men"",""80-84"",""0.429"""
"Greece,""2004"",""Men"",""85+"",""0.372"""
"Ireland,""2004"",""Women"",""16-19"",""0.034"""
"Ireland,""2004"",""Women"",""20-24"",""0.042"""
"Ireland,""2004"",""Women"",""25-29"",""0.084"""
"Ireland,""2004"",""Women"",""30-34"",""0.069"""
"Ireland,""2004"",""Women"",""35-39"",""0.1"""
