"Territorial Unit","Year","Sex","Age","Not Limited"
"Austria","2004","Women","16-19","0.901"
"Austria","2004","Women","20-24","0.958"

"Austria","2004","Women","25-29","0.891"
"Austria","2004","Women","30-34","0.899"
"Austria","2004","Women","35-39","0.89"
"Austria","2004","Women","40-44","0.826"
"Austria","2004","Women","45-49","0.763"
"Austria","2004","Women","50-54","0.67"
"Austria","2004","Women","55-59","0.657"
"Austria","2004","Women","60-64","0.645"
"Austria","2004","Women","65-69","0.516"
"Austria","2004","Women","70-74","0.432"
"Austria","2004","Women","75-79","0.268"
"Austria","2004","Women","80-84","0.283"
"Austria","2004","Women","85+","0.178"
"Austria","2004","Men","16-19","0.912"
"Austria","2004","Men","20-24","0.907"
"Austria","2004","Men","25-29","0.883"
"Austria","2004","Men","30-34","0.895"
"Austria","2004","Men","35-39","0.874"
"Austria","2004","Men","40-44","0.81"
"Austria","2004","Men","45-49","0.801"
"Austria","2004","Men","50-54","0.648"
"Austria","2004","Men","55-59","0.602"
"Austria","2004","Men","60-64","0.578"
"Austria","2004","Men","65-69","0.53"
"Austria","2004","Men","70-74","0.427"
"Austria","2004","Men","75-79","0.435"
"Austria","2004","Men","80-84","0.338"
"Austria","2004","Men","85+","0.31"
"Belgium","2004","Women","16-19","0.86"
"Belgium","2004","Women","20-24","0.874"
"Belgium","2004","Women","25-29","0.813"
"Belgium","2004","Women","30-34","0.789"
"Belgium","2004","Women","35-39","0.798"
"Belgium","2004","Women","40-44","0.731"
"Belgium","2004","Women","45-49","0.741"
"Belgium","2004","Women","50-54","0.651"
"Belgium","2004","Women","55-59","0.653"
"Belgium","2004","Women","60-64","0.619"
"Belgium","2004","Women","65-69","0.581"
"Belgium","2004","Women","70-74","0.476"
"Belgium","2004","Women","75-79","0.47"
"Belgium","2004","Women","80-84","0.296"
"Belgium","2004","Women","85+","0.235"
"Belgium","2004","Men","16-19","0.899"
"Belgium","2004","Men","20-24","0.877"
"Belgium","2004","Men","25-29","0.832"
"Belgium","2004","Men","30-34","0.841"
"Belgium","2004","Men","35-39","0.814"
"Belgium","2004","Men","40-44","0.798"
"Belgium","2004","Men","45-49","0.733"
"Belgium","2004","Men","50-54","0.696"
"Belgium","2004","Men","55-59","0.705"
"Belgium","2004","Men","60-64","0.619"
"Belgium","2004","Men","65-69","0.627"
"Belgium","2004","Men","70-74","0.577"
"Belgium","2004","Men","75-79","0.472"
"Belgium","2004","Men","80-84","0.478"
"Belgium","2004","Men","85+","0.352"
"Denmark","2004","Women","16-19","0.934"
"Denmark","2004","Women","20-24","0.927"
"Denmark","2004","Women","25-29","0.928"
"Denmark","2004","Women","30-34","0.909"
"Denmark","2004","Women","35-39","0.904"
"Denmark","2004","Women","40-44","0.872"
"Denmark","2004","Women","45-49","0.844"
"Denmark","2004","Women","50-54","0.801"
"Denmark","2004","Women","55-59","0.803"
"Denmark","2004","Women","60-64","0.847"
"Denmark","2004","Women","65-69","0.755"
"Denmark","2004","Women","70-74","0.814"
"Denmark","2004","Women","75-79","0.701"
"Denmark","2004","Women","80-84","0.587"
"Denmark","2004","Women","85+","0.625"
"Denmark","2004","Men","16-19","0.916"
"Denmark","2004","Men","20-24","0.958"
"Denmark","2004","Men","25-29","0.964"
"Denmark","2004","Men","30-34","0.94"
"Denmark","2004","Men","35-39","0.887"
"Denmark","2004","Men","40-44","0.917"
"Denmark","2004","Men","45-49","0.913"
"Denmark","2004","Men","50-54","0.88"
"Denmark","2004","Men","55-59","0.828"
"Denmark","2004","Men","60-64","0.832"
"Denmark","2004","Men","65-69","0.894"
"Denmark","2004","Men","70-74","0.839"
"Denmark","2004","Men","75-79","0.854"
"Denmark","2004","Men","80-84","0.759"
"Denmark","2004","Men","85+","0.739"
"Finland","2004","Women","16-19","0.775"
"Finland","2004","Women","20-24","0.773"
"Finland","2004","Women","25-29","0.748"
"Finland","2004","Women","30-34","0.735"
"Finland","2004","Women","35-39","0.733"
"Finland","2004","Women","40-44","0.691"
"Finland","2004","Women","45-49","0.657"
"Finland","2004","Women","50-54","0.593"
